
 displacements (vx,vy,vz) for set TIPMARKER and time  0.1000000E+00

         4  1.680956E-06  3.041060E-05  1.022954E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2000000E+00

         4  5.448274E-06  1.401902E-04  2.945058E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3000000E+00

         4  1.057515E-05  3.670184E-04  6.338125E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4000000E+00

         4  1.616465E-05  7.508487E-04  1.226897E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5000000E+00

         4  2.135191E-05  1.337143E-03  2.098012E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6000000E+00

         4  2.535457E-05  2.133715E-03  3.238409E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7000000E+00

         4  2.742297E-05  3.076447E-03  4.636382E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8000000E+00

         4  2.932145E-05  4.064623E-03  6.235600E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9500000E+00

         4  3.540011E-05  5.308224E-03  8.559710E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1100000E+01

         4  4.192399E-05  5.825860E-03  1.003711E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1250000E+01

         4  4.574366E-05  5.239618E-03  9.843118E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1400000E+01

         4  4.463335E-05  3.504528E-03  7.578837E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1550000E+01

         4  4.135305E-05  9.721577E-04  3.703714E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1700000E+01

         4  4.245122E-05 -1.632854E-03 -6.126435E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1850000E+01

         4  4.698755E-05 -3.427937E-03 -4.029684E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2000000E+01

         4  5.285363E-05 -3.705481E-03 -5.265673E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2150000E+01

         4  5.773635E-05 -2.180250E-03 -3.653337E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2300000E+01

         4  6.320667E-05  8.475977E-04  6.711609E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2450000E+01

         4  7.324446E-05  4.512911E-03  6.703891E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2600000E+01

         4  8.406870E-05  7.665814E-03  1.254256E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2750000E+01

         4  9.140620E-05  9.234140E-03  1.618506E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2900000E+01

         4  9.199861E-05  8.586102E-03  1.625410E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3050000E+01

         4  8.835049E-05  5.800905E-03  1.255569E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3200000E+01

         4  8.700841E-05  1.672218E-03  6.224556E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3350000E+01

         4  8.757149E-05 -2.533873E-03 -8.234458E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3500000E+01

         4  8.904821E-05 -5.464347E-03 -6.362558E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3650000E+01

         4  9.028465E-05 -6.138719E-03 -8.561236E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3800000E+01

         4  9.383669E-05 -4.295051E-03 -6.519261E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3950000E+01

         4  1.041589E-04 -4.750686E-04 -6.622758E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4100000E+01

         4  1.173768E-04  4.129394E-03  7.148562E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4250000E+01

         4  1.285337E-04  8.057135E-03  1.439376E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4400000E+01

         4  1.334338E-04  1.006914E-02  1.870126E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4550000E+01

         4  1.335532E-04  9.544348E-03  1.875729E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4700000E+01

         4  1.343002E-04  6.676546E-03  1.470268E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4850000E+01

         4  1.347682E-04  2.409982E-03  7.828716E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5000000E+01

         4  1.339693E-04 -1.890543E-03  3.324452E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5150000E+01

         4  1.313123E-04 -4.893476E-03 -5.420710E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5300000E+01

         4  1.305378E-04 -5.720486E-03 -7.588272E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5450000E+01

         4  1.370932E-04 -4.219625E-03 -5.463823E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5600000E+01

         4  1.480649E-04 -9.790663E-04  9.183588E-09

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5750000E+01

         4  1.591317E-04  2.906509E-03  7.141009E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5900000E+01

         4  1.661025E-04  6.208561E-03  1.336639E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6050000E+01

         4  1.700134E-04  7.968788E-03  1.693979E-06

